config,backend,language,split,file_id,reference,hypothesis,hypothesis_raw,wer,cer,latency_sec,rtf,audio_duration_sec,ref_words,hyp_words,word_ratio,error
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jari_koskinen_02952,on kerrottu että se on edelleenkin meille tärkeä jatkossa ja edelleenkin sen pitää olla samalla tavalla tuotantoon sidottua tukea ja myös mukana oltava investointituet koska se kokonaisuus on meidän mielestämme järkevin ja toiminut tähänkin asti,on kerrottu että se on edelleenkin meille tärkeä jatkossa ja edelleenkin se pitää olla samalla tavalla tuotantoasennettua tukea ja myös mukana investointituet koska se kokonaisuus on meidän mielestämme järkevin ja toimiin ollut tähänkin asti,"On kerrottu, että se on edelleenkin meille tärkeä jatkossa, ja edelleenkin se pitää olla samalla tavalla tuotantoasennettua tukea ja myös mukana investointituet, koska se kokonaisuus on meidän mielestämme järkevin ja toimiin ollut tähänkin asti.",0.171429,0.081633,57.799,4.9136,11.763,35,34,0.971,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02557,taustalla on etenkin se että on haluttu päivittää tätä nykyistä puitelakia jossa suuri yhteiskunnallinen muutos on se tosiasia että liian harva suomalainen liikkuu ja on liian monia suomalaisia jotka sitten eivät liiku,taustalla on etenkin se että on haluttu päivittää tämä nykyistä puiteoakia jossa suuri yhteiskunnallinen muutos on se tosiasia että liian harva suomalainen liikkuu ja on liian monia suomalaisia jotka sitten eivät liiku,"Taustalla on etenkin se, että on haluttu päivittää tämä nykyistä puiteoakia, jossa suuri yhteiskunnallinen muutos on se tosiasia, että liian harva suomalainen liikkuu ja on liian monia suomalaisia, jotka sitten eivät liiku.",0.0625,0.009174,1.29,0.0801,16.107,32,32,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jouni_backman_01836,se millä tavalla se muistuttaa taas sitä keskustan ajattelutapaa on tämä miljardiluokan rahasto jolla valtio olisi panostamassa yritystoimintaan,se millä tavalla se muistuttaa taas sitä keskustan ajattelutapaa on tämä miljardiluokan rahasto jolla valtio olisi panostamassa yritystoimintaa,"Se, millä tavalla se muistuttaa, taas sitä keskustan ajattelutapaa, on tämä miljardiluokan rahasto, jolla valtio olisi panostamassa yritystoimintaa.",0.055556,0.006944,0.936,0.08,11.694,18,18,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jan_vapaavuori_05850,se johtuu eun pankkikriisin seurauksena syntyneestä pankkisääntelystä joka kiristää vakavaraisuusvaatimuksia,se johtuu eu pankkikriisin seurauksena syntyneestä pankkisääntelystä joka kiristää vakavaraisuusvaatimuksia,"Se johtuu EU-pankkikriisin seurauksena syntyneestä pankkisääntelystä, joka kiristää vakavaraisuusvaatimuksia.",0.1,0.009259,57.301,8.7031,6.584,10,10,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,anne_mari_virolainen_04370,liikennepoliittisen selonteon käsittelyn yhteydessä eduskunta hyväksyy kannanoton jonka mukaan mahdollisuudet tie ja liikennerahastojen käyttämiseen on selvitettävä tällä hallituskaudella,liikennepoliittisen selonteon käsittelyn yhteydessä eduskunta hyväksyy kannanoton jonka mukaan mahdollisuudet tie ja liikennerahastojen käyttämiseen on selvitettävä tällä hallituskaudella,"Liikennepoliittisen selonteon käsittelyn yhteydessä eduskunta hyväksyy kannanoton, jonka mukaan mahdollisuudet tie- ja liikennerahastojen käyttämiseen on selvitettävä tällä hallituskaudella.",0.0,0.0,3.651,0.3579,10.203,18,18,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,anne_mari_virolainen_04368,koska jo vuosien ajan korjausvelkaa on kerätty runsaasti on aivan ilmeistä että perusväylänpidon rahoitus on tällä hetkellä pahasti jäljessä tavoitetasosta,koska jo vuosien ajan korjausvelkaa on kerätty runsaasti on aivan ilmeistä että perusväylänpidon rahoitus on tällä hetkellä pahasti jäljessä tavoitetasosta,"Koska jo vuosien ajan korjausvelkaa on kerätty runsaasti, on aivan ilmeistä, että perusväylänpidon rahoitus on tällä hetkellä pahasti jäljessä tavoitetasosta.",0.0,0.0,1.077,0.1322,8.151,20,20,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02577,lakiin on myös lisätty hajanaisen käsitekentän yhtenäistämiseksi määritelmät liikunnasta huippu urheilusta ja terveyttä ja hyvinvointia edistävästä liikunnasta lain sovinto,lakiin on myös lisätty hajanaisen käsitekentän yhtenäistämiseksi määritelmät liikunnasta huippu urheilusta ja terveyden ja hyvinvoinnista edistävästä liikunnasta lain sovintaa,"Lakiin on myös lisätty hajanaisen käsitekentän yhtenäistämiseksi määritelmät liikunnasta, huippu-urheilusta ja terveyden ja hyvinvoinnista edistävästä liikunnasta lain sovintaa.",0.157895,0.046512,55.643,4.2077,13.224,19,19,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02912,yliopistokeskuksia kehitetään erityisesti aikuisväestön koulutus ja osaamistason nostamisen alueellisina koordinaatio ja resurssikeskuksina sekä alueen tarpeita tukevaan tutkimustoimintaan tukevaan tutkimustoimintaan jossa tehtävässä ne toimivat tiiviissä yhteistyössä alueiden ja niiden,yliopistokeskuksia kehitetään erityisesti aikkuisväestön koulutus ja osaamistason nostamisen alueellisina koordinaatio ja resurssikeskuksina sekä alueen tarpeita tukevaan tutkimustoimintaan jossa tehtävässä ne toimivat tiivissä yhteistyössä alueiden ja niiden yhteistyössä,"Yliopistokeskuksia kehitetään erityisesti aikkuisväestön koulutus- ja osaamistason nostamisen alueellisina koordinaatio- ja resurssikeskuksina sekä alueen tarpeita tukevaan tutkimustoimintaan, jossa tehtävässä ne toimivat tiivissä yhteistyössä alueiden ja niiden yhteistyössä.",0.178571,0.149826,1.151,0.0662,17.384,28,27,0.964,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02947,vesihuoltohankkeet ovat haja asutusalueilla monessa mielessä tarpeellisia ja perusteltuja,vesihuolto hankkeet ovat haja asuntoalueilla monessa mielessä tarpeellisia ja perusteltuja,Vesihuolto-hankkeet ovat haja-asuntoalueilla monessa mielessä tarpeellisia ja perusteltuja.,0.333333,0.044944,2.667,0.3535,7.544,9,10,1.111,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jari_koskinen_02773,ne pitää suunata uudestaan mutta olen kovin huolissani että jos metsänomistajan ainoa motiivi tehdä metsässä uudistustöitä tai nuoren metsän hoitotöitä on se että siihen saa valtiolta vähän rahaa,pitää suunnata uudestaan mutta olen kovin huolissani että jos metsänomistajan ainoa motiivi tehdä metsässä uudistustöitä tai nuoren metsän hoitotöitä on se että siihen saa valtilta vähän rahaa,"Pitää suunnata uudestaan, mutta olen kovin huolissani, että jos metsänomistajan ainoa motiivi tehdä metsässä uudistustöitä tai nuoren metsän hoitotöitä on se, että siihen saa valtilta vähän rahaa.",0.107143,0.025641,56.262,4.5902,12.257,28,27,0.964,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jouni_backman_01871,allekirjoittanut kaupunginvaltuuston puheenjohtajana ei ole voinut vaikuttaa niihin päätöksiin missä on yksityistetty sosterin puoleen ja nyt niitä palautetaan takaisin kunnan omaan työhön,allekirjoittanut kaupunginvaltuuston puheenjohtaja ei ole voinut vaikuttaa niihin päätöksiin missä on yksityistetty sosterin puoleen ja nyt niitä palautetaan takaisin kunnan omaan työhön,"Allekirjoittanut kaupunginvaltuuston puheenjohtaja ei ole voinut vaikuttaa niihin päätöksiin, missä on yksityistetty Sosterin puoleen ja nyt niitä palautetaan takaisin kunnan omaan työhön.",0.045455,0.010638,0.813,0.0998,8.148,22,22,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,anne_mari_virolainen_04355,sitä odotellessa toivomme tästä salista kaikilta kaikilta kannatusta istanbulin sopimuksen eteenpäinviemiseen edustaja tossavainen poissa,sitä odotellessa toivomme tästä sallista kaikilta kannatusta istanbulin sopimuksen eteenpäin viemiseen,Sitä odotellessa toivomme tästä sallista kaikilta kannatusta Istanbulin sopimuksen eteenpäin viemiseen.,0.428571,0.284672,2.704,0.2225,12.152,14,11,0.786,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jari_koskinen_03001,ja kyl se meidän toivomus on kaikkien se että markkinat toimisi paremmin ja kysyntää olisi sillä tavalla että syntyisi myös semmoista energiantuotantoa ettei aina kysyttäisi sitä paljonko pitää maksaa tukea elikkä että löytyisi sitten ihan kannattavaa toimintaa,tietysti meidän toivomus on kaikkiaan se että markkinat toimisivat paremmin ja kysyntä olisi sillä tavalla että ei syntyisi myös sellaista energiantuotantoa että aina kun kysyttäisiin sitä että paljonko pitää maksaa tukea eli että löytyisi sitten ihan kannattavaa toimintaa,"Tietysti meidän toivomus on kaikkiaan se, että markkinat toimisivat paremmin ja kysyntä olisi sillä tavalla, että ei syntyisi myös sellaista energiantuotantoa, että aina kun kysyttäisiin sitä, että paljonko pitää maksaa tukea, eli että löytyisi sitten ihan kannattavaa toimintaa.",0.351351,0.137931,56.421,4.4151,12.779,37,38,1.027,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02863,sulussa kulutustason nosto asiantuntemusta ja tutkimustoimintaa yritysten ja julkisen sektorin käyttöön sulku kiinni että emo yhtiö emo yliopistolle muun muassa,sulussa koulutustason nosto asiantuntemusta ja tutkimustoimintaa yritysten ja julkisen sektorin käyttöön sulku kiinni,"sulussa koulutustason nosto, asiantuntemusta ja tutkimustoimintaa yritysten ja julkisen sektorin käyttöön sulku kiinni.",0.4,0.28125,0.632,0.0598,10.56,20,13,0.65,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02477,eli eli ihan perustuslain mukaan että valtioneuvosto valmistelee mutta eduskuntaseuranta eduskuntavalmistelu olisi siinä tiiviisti mukana kriisihallinnan,eli ihan perustuslain mukaan että valtioneuvosto valmistelee mutta eduskunta seuranta eduskunta valmistelu olisi siinä tiiviisti mukana,"Eli ihan perustuslain mukaan, että valtioneuvosto valmistelee, mutta eduskunta, seuranta, eduskunta, valmistelu olisi siinä tiiviisti mukana.",0.375,0.143791,2.716,0.2518,10.784,16,16,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jouni_backman_01973,se on ongelma niin yksittäisten kansalaisten koko yhteiskunnan tasolla ja siihen pitää määrätietoisesti puuttua,se on ongelma yksittäisten kansalaisten koko yhteiskunnan tasolla ja siihen pitää määrätietoista puutua,"Se on ongelma yksittäisten kansalaisten, koko yhteiskunnan tasolla, ja siihen pitää määrätietoista puutua.",0.214286,0.081081,56.079,5.9006,9.504,14,13,0.929,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jyri_hakamies_02433,tähän tämä team finland juuri tähtää että kun se koostuu se ohjausryhmä yrityksien edustajista että me saisimme entistä suorempaa entistä parempaa palautetta yrityksiltä mihin halutaan näitä vientiponnisteluja kohdistaa minkätyyppisiä kauppapoliittisia esteitä eri puolilla maailmaa on olemassa joihin pyrkisimme vaikuttamaan,tähän tämä team finland juuri tähtää että kun se koostuu se ohjausryhmä yrityksen edustajista että me saisimme entistä suorempaa entistä parempaa palautetta yrityksiltä mihin halutaan näitä vientiponnisteluja kohdistaa minkä tyyppisiä kauppapoliittisia esteitä eri puolilla maailmaa on olemassa joihin pyrkisimme vaikuttamaan,"Tähän tämä Team Finland juuri tähtää, että kun se koostuu se ohjausryhmä yrityksen edustajista, että me saisimme entistä suorempaa, entistä parempaa palautetta yrityksiltä, mihin halutaan näitä vientiponnisteluja kohdistaa, minkä tyyppisiä kauppapoliittisia esteitä eri puolilla maailmaa on olemassa, joihin pyrkisimme vaikuttamaan.",0.076923,0.006154,1.586,0.0884,17.936,39,40,1.026,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jan_vapaavuori_05829,pekka ala pietilä tulee luovuttamaan raporttinsa tammikuussa ja sen jälkeen viedään heti puolivälin tarkasteluun ja sen ensimmäiseen kehysriiheen siitä tietenkin ne osat jotka arvioidaan voitavan toteuttaa niin mahdollisimman,pekka ala pietilä tulee luovuttamaan raporttinsa tammikuussa ja sen jälkeen viedään heti puolivälin tarkasteluun ja sen ensimmäisen kehysriihen siitä tietenkin ne osat jotka arvioidaan voitavan toteuttaa niin mahdollisimman nopeasti,"Pekka Ala-Pietilä tulee luovuttamaan raporttinsa tammikuussa ja sen jälkeen viedään heti puolivälin tarkasteluun ja sen ensimmäisen kehysriihen siitä tietenkin ne osat, jotka arvioidaan voitavan toteuttaa niin mahdollisimman nopeasti.",0.107143,0.048889,2.388,0.2064,11.568,28,29,1.036,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,eero_suutari_02918,ja tätä pankkisektorin vakauttamistahan me ollaan täällä juuri tekemässä tällä päätöksellä että saadaan korot alas,ja tätä pankkisektorin vakauttamista me ollaan täällä juuri tekemässä tällä päätöksellä että saadaan korot alas,"Ja tätä pankkisektorin vakauttamista me ollaan täällä juuri tekemässä tällä päätöksellä, että saadaan korot alas.",0.066667,0.026316,56.024,8.0692,6.943,15,15,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jan_vapaavuori_05911,viimeaikaisten tapahtumien johdosta kysyntä on heikentynyt ihmiset ovat tulleet varovaisemmiksi asuntoja ei ole haluttu ostaa uskallettu ottaa lainaa tai ajateltu että ei kannata ostaa jos vaikkapa asuntojen hinnat laskevat,viimeaikaisten tapahtumien johdosta kysyntä on heikentynyt ihmiset ovat tulleet varovaisemmiksi asuntoja ei ole haluttu ostaa uskallettu ottaa painaa tai ajateltu että ei kannata ostaa jos vaikkapa asuntojen hinnat laskevat,"Viimeaikaisten tapahtumien johdosta kysyntä on heikentynyt, ihmiset ovat tulleet varovaisemmiksi, asuntoja ei ole haluttu ostaa, uskallettu ottaa painaa tai ajateltu, että ei kannata ostaa, jos vaikkapa asuntojen hinnat laskevat.",0.034483,0.004484,1.034,0.0615,16.808,29,29,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,jouni_backman_01835,tämä viron malli on tutkittu hyvin tarkkaan useammankin ihan kansainvälisen tutkimuksen perusteella ja ei ole mitään evidenssiä siitä että vertailumaihin esimerkiksi latviaan liettuaan verrattuna virossa olisi tapahtunut työllisyyden tai yritystoiminnan osalta mitään sellaista positiivista mitä ei olisi liettuassa latviassa tapahtunut,tämä viro malli on tutkittu hyvin tarkkaan useammankin kansainvälisen tutkimuksen perusteella ja ei ole mitään evidenssiä siitä että vertailun maiheemmissa latviaan liettuaan verrattuna virossa olisi tapahtunut työllisyyden tai yritystaminen osalta mitään sellaista positiivista mitä ei olisi liettuas latviassa tapahtunut,"Tämä VIRO-malli on tutkittu hyvin tarkkaan useammankin kansainvälisen tutkimuksen perusteella ja ei ole mitään evidenssiä siitä, että vertailun maiheemmissa Latviaan liettuaan verrattuna VIROssa olisi tapahtunut työllisyyden tai yritystaminen osalta mitään sellaista positiivista, mitä ei olisi liettuas Latviassa tapahtunut.",0.15,0.071429,3.379,0.1669,20.24,40,39,0.975,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,hanna_tainio_01934,yhteiskunnalle syntyvä säästö olisi siis merkittävä,yhteiskunnalle syntyvä säästö olisi siis merkittävä,Yhteiskunnalle syntyvä säästö olisi siis merkittävä.,0.0,0.0,56.018,16.7519,3.344,6,6,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,leena_rauhala_04206,tutkintotavoitteiden ja toteutumisen ohella opiskelijaopettaja suhteen tulee tulee olla yksi keskeinen koulutuksen laadun indikaattoreista samoin muun muassa opetushenkilökunnan pedagoginen pätevyys ja henkilöstön osaamisen kehittäminen,tutkintotavoitteiden ja toteutumisen ohella opiskelija opettajasuhteen tulee olla yksi keskeinen koulutuksen laadun indikaattoreista samoin muun muassa opetushenkilökunnan pedagoginen pätevyys ja henkilöstön osaamisen kehittäminen,Tutkintotavoitteiden ja toteutumisen ohella opiskelija-opettajasuhteen tulee olla yksi keskeinen koulutuksen laadun indikaattoreista. Samoin muun muassa opetushenkilökunnan pedagoginen pätevyys ja henkilöstön osaamisen kehittäminen.,0.125,0.033898,1.012,0.0612,16.528,24,23,0.958,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,anne_mari_virolainen_04307,olen jutellut mikkeliläisen akseli kauppakeskuksen yrittäjän kanssa ja hän sanoi että he tekevät tapauskohtaisesti niitä sopimuksia että jos on sesonkiluonteisesta myynnistä kysymys niin sitä voidaan jaksottaa koko vuoden ajalle eikä vain yksi,olen jutellut mikkeliläisen akselikauppakeskuksen yrittäjän kanssa hän sanoi että he tekevät tapauskohtaisesti niitä sopimuksia että jos on sesonkiluonteisista myynnistä kysymys niin sitä voidaan jaksottaa koko vuoden ajalle eikä vain yksin,"Olen jutellut Mikkeliläisen akselikauppakeskuksen yrittäjän kanssa. Hän sanoi, että he tekevät tapauskohtaisesti niitä sopimuksia, että jos on sesonkiluonteisista myynnistä kysymys, niin sitä voidaan jaksottaa koko vuoden ajalle, eikä vain yksin.",0.15625,0.024691,2.133,0.1527,13.97,32,30,0.938,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,leena_rauhala_04122,ja haluaisin oikeastaan opetusministeri teille esittää kysymyksen koska te olette korostanut juuri tätä oppimisympäristöä ja tasavertaista koulutusta ja monia hyviä,haluaisin teille esittää kysymyksen koska te olette korostaneet oppimisympäristöä tasavertaista koulutusta ja monia hyviä asioita,"Haluaisin teille esittää kysymyksen, koska te olette korostaneet oppimisympäristöä, tasavertaista koulutusta ja monia hyviä asioita.",0.4,0.323171,57.201,5.8178,9.832,20,15,0.75,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,leena_rauhala_04199,mietinnöissään tätä on nostettu esille ja niin se on myös tässä tässä yliopistolain mietinnössäkin tähän niin sanottuun leipätekstiin tänne sisälle sisälle kirjattu tämä opiskelijaopettaja suhde että se on meillä suomessa erittäin huono ja siihen tulisi,mietinnöissään tätä on nostettu esille ja niin se on myös tässä yliopistolain mietinnössäkin tämän niin sanottuun leipätekstiin tänne sisälle sisälle kirjattu tämä opiskelija opettaja suhde että se on meillä suomessa erittäin huono ja siihen tulisi,"mietinnöissään. Tätä on nostettu esille ja niin se on myös tässä yliopistolain mietinnössäkin tämän niin sanottuun leipätekstiin tänne sisälle. Sisälle kirjattu tämä opiskelija-opettaja suhde, että se on meillä Suomessa erittäin huono ja siihen tulisi.",0.114286,0.031621,1.108,0.0468,23.664,35,35,1.0,
azure_whisper_fi,azure_whisper,fi,2016-dev-seen,carl_haglund_02760,en itse usko että se murentuu kunhan me myös kyemme päättäjinä tämä on meidän yhteinen asiamme ylläpitämään silti semmoista myönteistä henkeä mitä tulee maanpuolustuksen tulevaisuuteen,en itse usko että se murentuu kunhan me myös kyemme päättäjinä että on meidän yhteinen asia hyöpitämään silti sellaista myönteistä henkeä mitä tuee maanpuolustuksen tuevaisuuteen,"En itse usko, että se murentuu, kunhan me myös kyemme päättäjinä, että on meidän yhteinen asia hyöpitämään silti sellaista myönteistä henkeä, mitä tuee maanpuolustuksen tuevaisuuteen.",0.24,0.081522,0.88,0.0898,9.792,25,25,1.0,
